bank_settlement_id,deposited_amount,settlement_date,description
BANK-TXN-10001,3433.45,2026-08-25,Razorpay Settlement for pay_13676a9cf758
BANK-TXN-10002,8760.5,2026-08-25,Razorpay Settlement for pay_016a4c1f7421
BANK-TXN-10003,7525.67,2026-08-04,Razorpay Settlement for pay_b3da4c068295
BANK-TXN-10004,10209.32,2026-08-09,Razorpay Settlement for pay_ae7248597534
BANK-TXN-10005,11935.98,2026-08-16,Razorpay Settlement for pay_1a13d2e77386
BANK-TXN-10006,6325.6,2026-08-27,Razorpay Settlement for pay_1deaac0b6cb3
BANK-TXN-10007,1541.19,2026-08-08,Razorpay Settlement for pay_eb7a350b7d9f
BANK-TXN-10008,4032.61,2026-08-29,Razorpay Settlement for pay_00dbbbfe5766
BANK-TXN-10009,14310.07,2026-08-17,Razorpay Settlement for pay_8f0630159e0a
BANK-TXN-10010,9313.79,2026-08-19,Razorpay Settlement for pay_db382d35caa3
BANK-TXN-10011,860.64,2026-08-09,Razorpay Settlement for pay_101b60a27f9b
BANK-TXN-10012,12293.93,2026-08-10,Razorpay Settlement for pay_a7246d3ae3db
BANK-TXN-10013,4068.24,2026-08-13,Razorpay Settlement for pay_3d68ec47d83f
BANK-TXN-10014,10771.26,2026-08-22,Razorpay Settlement for pay_761061f85f75
BANK-TXN-10015,9478.56,2026-08-14,Razorpay Settlement for pay_9c83e5ac9554
BANK-TXN-10016,12115.43,2026-08-12,Razorpay Settlement for pay_5503d447ef13
BANK-TXN-10017,13440.12,2026-08-10,Razorpay Settlement for pay_04759771d52f
BANK-TXN-10018,13027.44,2026-08-22,Razorpay Settlement for pay_7e2abe5252ab
BANK-TXN-10019,11001.32,2026-08-10,Razorpay Settlement for pay_453fb1936950
BANK-TXN-10020,8659.56,2026-08-20,Razorpay Settlement for pay_0f400a02d023
BANK-TXN-10021,1514.55,2026-08-07,Razorpay Settlement for pay_dbf13f907815
BANK-TXN-10022,2418.36,2026-08-05,Razorpay Settlement for pay_cf73aa392695
BANK-TXN-10023,8838.77,2026-08-04,Razorpay Settlement for pay_10adadc1bf83
BANK-TXN-10024,13865.02,2026-08-11,Razorpay Settlement for pay_f4713ae1b31a
BANK-TXN-10025,4066.03,2026-08-30,Razorpay Settlement for pay_e7ab46329756
BANK-TXN-10026,6776.81,2026-08-12,Razorpay Settlement for pay_db96d3903b06
BANK-TXN-10027,13432.75,2026-08-26,Razorpay Settlement for pay_02d4e6f9d738
BANK-TXN-10028,3081.0,2026-08-22,Razorpay Settlement for pay_b2ea61e5a755
BANK-TXN-10029,13574.98,2026-08-08,Razorpay Settlement for pay_e839c0c1252e
BANK-TXN-10030,1818.53,2026-08-13,Razorpay Settlement for pay_441ed6b246ba
BANK-TXN-10031,1036.14,2026-08-27,Razorpay Settlement for pay_24d05f1cca92
BANK-TXN-10032,1181.5,2026-08-26,Razorpay Settlement for pay_0ca6ad62c9e1
BANK-TXN-10033,2591.0,2026-08-24,Razorpay Settlement for pay_df666d0161e3
BANK-TXN-10034,10782.92,2026-09-01,Razorpay Settlement for pay_827cffd1d802
BANK-TXN-10035,9621.84,2026-08-11,Razorpay Settlement for pay_7064f8318608
BANK-TXN-10036,3455.01,2026-08-16,Razorpay Settlement for pay_60b5165454d3
BANK-TXN-10037,8730.73,2026-08-20,Razorpay Settlement for pay_67f2d412bba8
BANK-TXN-10038,3462.75,2026-08-25,Razorpay Settlement for pay_bc953047c7c4
BANK-TXN-10039,3648.02,2026-08-12,Razorpay Settlement for pay_319adbc78962
BANK-TXN-10040,13764.7,2026-08-19,Razorpay Settlement for pay_158a75ef32a5
BANK-TXN-10041,6100.0,2026-08-27,Razorpay Settlement for pay_ef5c5a7c8828
BANK-TXN-10042,6339.58,2026-08-23,Razorpay Settlement for pay_8592169f5703
BANK-TXN-10043,9673.72,2026-08-25,Razorpay Settlement for pay_d3b18e2853e3
BANK-TXN-10044,11807.79,2026-08-15,Razorpay Settlement for pay_6f949f9b1fe2
BANK-TXN-10045,6702.69,2026-08-08,Razorpay Settlement for pay_6aa25fc4fa7a
BANK-TXN-10046,12879.54,2026-08-10,Razorpay Settlement for pay_1461e186e19f
BANK-TXN-10047,929.74,2026-08-27,Razorpay Settlement for pay_1a15e8596fff
BANK-TXN-10048,1046.44,2026-08-29,Razorpay Settlement for pay_66d8eab6601b
BANK-TXN-10049,11568.16,2026-08-14,Razorpay Settlement for pay_016c05e6896e
BANK-TXN-10050,14633.61,2026-08-16,Razorpay Settlement for pay_7f4e8d23384d
BANK-TXN-10051,14246.16,2026-08-08,Razorpay Settlement for pay_14b3f4a28190
BANK-TXN-10052,8668.91,2026-08-12,Razorpay Settlement for pay_75eb86565b65
BANK-TXN-10053,12543.87,2026-09-02,Razorpay Settlement for pay_69ddec813207
BANK-TXN-10054,3607.4,2026-08-05,Razorpay Settlement for pay_c4751c12e1d9
BANK-TXN-10055,772.42,2026-08-09,Razorpay Settlement for pay_f6e8c70eaf27
BANK-TXN-10056,7778.44,2026-08-24,Razorpay Settlement for pay_15ba84484581
BANK-TXN-10057,3657.9,2026-08-24,Razorpay Settlement for pay_67702cc7ae07
BANK-TXN-10058,6827.58,2026-08-24,Razorpay Settlement for pay_4133eb83ef60
BANK-TXN-10059,14643.39,2026-08-16,Razorpay Settlement for pay_cc7bf1436f69
BANK-TXN-10060,2117.15,2026-08-08,Razorpay Settlement for pay_05e59b097bb3
BANK-TXN-10061,4263.19,2026-08-30,Razorpay Settlement for pay_ed678466f5b1
BANK-TXN-10062,8928.98,2026-08-20,Razorpay Settlement for pay_e0aae5382da2
BANK-TXN-10063,13710.19,2026-08-29,Razorpay Settlement for pay_5f9564a887aa
BANK-TXN-10064,10604.25,2026-08-12,Razorpay Settlement for pay_06cfab62eeb5
BANK-TXN-10065,7281.66,2026-08-22,Razorpay Settlement for pay_f82aa6a47e30
BANK-TXN-10066,4208.97,2026-08-22,Razorpay Settlement for pay_423c9139d9c3
BANK-TXN-10067,14406.99,2026-08-26,Razorpay Settlement for pay_2e6565883f36
BANK-TXN-10068,6399.17,2026-08-16,Razorpay Settlement for pay_867eb8baac84
BANK-TXN-10069,2357.88,2026-08-05,Razorpay Settlement for pay_a8d36073c8f4
BANK-TXN-10070,2308.08,2026-08-14,Razorpay Settlement for pay_85f29260dd18
BANK-TXN-10071,13729.51,2026-08-11,Razorpay Settlement for pay_408258749ae0
BANK-TXN-10072,9869.2,2026-08-08,Razorpay Settlement for pay_fe4089c48eae
BANK-TXN-10073,11066.42,2026-08-19,Razorpay Settlement for pay_480e826f7da6
BANK-TXN-10074,6175.92,2026-08-07,Razorpay Settlement for pay_ba9f504b3889
BANK-TXN-10075,13696.56,2026-08-31,Razorpay Settlement for pay_46954a37c40c
BANK-TXN-10076,5744.39,2026-08-08,Razorpay Settlement for pay_3cb7f317bea9
BANK-TXN-10077,12039.77,2026-08-17,Razorpay Settlement for pay_1af47c7f11d0
BANK-TXN-10078,539.23,2026-08-11,Razorpay Settlement for pay_3751026b5757
BANK-TXN-10079,1202.88,2026-08-12,Razorpay Settlement for pay_618480f31883
BANK-TXN-10080,10051.73,2026-08-22,Razorpay Settlement for pay_4b0332b6995d
BANK-TXN-10081,8616.88,2026-08-05,Razorpay Settlement for pay_150e58123589
