payment_id,order_id,transaction_amount,razorpay_fee,net_payout,status,payout_date
pay_13676a9cf758,ORD-2026-00001,3503.52,70.07,3433.45,captured,2026-08-24 10:15:00
pay_016a4c1f7421,ORD-2026-00002,8939.29,178.79,8760.5,captured,2026-08-24 18:05:00
pay_b3da4c068295,ORD-2026-00003,7679.26,153.59,7525.67,captured,2026-08-03 12:14:00
pay_ae7248597534,ORD-2026-00004,10579.61,370.29,10209.32,captured,2026-08-08 06:41:00
pay_1a13d2e77386,ORD-2026-00005,12179.57,243.59,11935.98,captured,2026-08-15 22:17:00
pay_1deaac0b6cb3,ORD-2026-00006,6454.69,129.09,6325.6,captured,2026-08-26 10:44:00
pay_eb7a350b7d9f,ORD-2026-00007,1572.64,31.45,1541.19,captured,2026-08-07 14:06:00
pay_00dbbbfe5766,ORD-2026-00008,4114.91,82.3,4032.61,captured,2026-08-28 13:38:00
pay_8f0630159e0a,ORD-2026-00009,14602.11,292.04,14310.07,captured,2026-08-16 03:07:00
pay_db382d35caa3,ORD-2026-00010,9503.87,190.08,9313.79,captured,2026-08-18 16:53:00
pay_101b60a27f9b,ORD-2026-00011,878.2,17.56,860.64,captured,2026-08-08 05:04:00
pay_a7246d3ae3db,ORD-2026-00013,12544.83,250.9,12293.93,captured,2026-08-09 23:40:00
pay_3d68ec47d83f,ORD-2026-00014,4151.27,83.03,4068.24,captured,2026-08-12 12:42:00
pay_761061f85f75,ORD-2026-00015,10991.08,219.82,10771.26,captured,2026-08-21 06:34:00
pay_9c83e5ac9554,ORD-2026-00016,9672.0,193.44,9478.56,captured,2026-08-13 14:59:00
pay_5503d447ef13,ORD-2026-00017,12362.68,247.25,12115.43,captured,2026-08-11 04:14:00
pay_04759771d52f,ORD-2026-00018,13714.41,274.29,13440.12,captured,2026-08-09 06:13:00
pay_7e2abe5252ab,ORD-2026-00019,13293.31,265.87,13027.44,captured,2026-08-21 22:25:00
pay_453fb1936950,ORD-2026-00020,11225.84,224.52,11001.32,captured,2026-08-09 09:15:00
pay_0f400a02d023,ORD-2026-00021,8836.29,176.73,8659.56,captured,2026-08-19 16:57:00
pay_dbf13f907815,ORD-2026-00022,1545.46,30.91,1514.55,captured,2026-08-06 02:31:00
pay_cf73aa392695,ORD-2026-00023,2567.73,51.35,2516.38,captured,2026-08-04 08:40:00
pay_10adadc1bf83,ORD-2026-00024,9019.15,180.38,8838.77,captured,2026-08-03 23:24:00
pay_f4713ae1b31a,ORD-2026-00025,14147.98,282.96,13865.02,captured,2026-08-10 04:55:00
pay_e7ab46329756,ORD-2026-00026,4149.01,82.98,4066.03,captured,2026-08-29 19:48:00
pay_db96d3903b06,ORD-2026-00027,6915.11,138.3,6776.81,captured,2026-08-11 01:10:00
pay_02d4e6f9d738,ORD-2026-00028,13706.89,274.14,13432.75,captured,2026-08-25 08:32:00
pay_b2ea61e5a755,ORD-2026-00029,3143.88,62.88,3081.0,captured,2026-08-21 21:38:00
pay_e839c0c1252e,ORD-2026-00030,13852.02,277.04,13574.98,captured,2026-08-07 02:49:00
pay_441ed6b246ba,ORD-2026-00031,1855.64,37.11,1818.53,captured,2026-08-12 03:01:00
pay_24d05f1cca92,ORD-2026-00032,1057.29,21.15,1036.14,captured,2026-08-26 18:15:00
pay_0ca6ad62c9e1,ORD-2026-00033,1224.35,42.85,1181.5,captured,2026-08-25 01:52:00
pay_df666d0161e3,ORD-2026-00034,2643.88,52.88,2591.0,captured,2026-08-23 01:35:00
pay_827cffd1d802,ORD-2026-00035,11002.98,220.06,10782.92,captured,2026-08-31 00:48:00
pay_7064f8318608,ORD-2026-00036,9818.2,196.36,9621.84,captured,2026-08-10 14:42:00
pay_60b5165454d3,ORD-2026-00037,3525.52,70.51,3455.01,captured,2026-08-15 10:15:00
pay_67f2d412bba8,ORD-2026-00038,8908.91,178.18,8730.73,captured,2026-08-19 20:14:00
pay_bc953047c7c4,ORD-2026-00039,3588.34,125.59,3462.75,captured,2026-08-24 05:03:00
pay_319adbc78962,ORD-2026-00040,3722.47,74.45,3648.02,captured,2026-08-11 07:32:00
pay_158a75ef32a5,ORD-2026-00041,14045.61,280.91,13764.7,captured,2026-08-18 06:46:00
pay_ef5c5a7c8828,ORD-2026-00042,6224.49,124.49,6100.0,captured,2026-08-26 16:51:00
pay_8592169f5703,ORD-2026-00043,6468.96,129.38,6339.58,captured,2026-08-22 16:22:00
pay_d3b18e2853e3,ORD-2026-00044,9871.14,197.42,9673.72,captured,2026-08-24 05:43:00
pay_6f949f9b1fe2,ORD-2026-00045,12048.77,240.98,11807.79,captured,2026-08-14 10:21:00
pay_6aa25fc4fa7a,ORD-2026-00046,6839.48,136.79,6702.69,captured,2026-08-07 08:34:00
pay_1461e186e19f,ORD-2026-00047,13142.39,262.85,12879.54,captured,2026-08-09 17:15:00
pay_1a15e8596fff,ORD-2026-00048,948.71,18.97,929.74,captured,2026-08-26 18:06:00
pay_73384a6abcb2,ORD-2026-00049,6214.93,0.0,0.0,failed,2026-08-30 13:10:00
pay_66d8eab6601b,ORD-2026-00050,1067.8,21.36,1046.44,captured,2026-08-28 13:57:00
pay_016c05e6896e,ORD-2026-00051,11804.24,236.08,11568.16,captured,2026-08-13 18:59:00
pay_7f4e8d23384d,ORD-2026-00052,14932.26,298.65,14633.61,captured,2026-08-15 09:46:00
pay_14b3f4a28190,ORD-2026-00053,14536.9,290.74,14246.16,captured,2026-08-07 13:13:00
pay_75eb86565b65,ORD-2026-00054,8845.83,176.92,8668.91,captured,2026-08-11 11:03:00
pay_69ddec813207,ORD-2026-00055,12799.87,256.0,12543.87,captured,2026-09-01 00:05:00
pay_c4751c12e1d9,ORD-2026-00056,3681.02,73.62,3607.4,captured,2026-08-04 05:55:00
pay_f6e8c70eaf27,ORD-2026-00057,788.18,15.76,772.42,captured,2026-08-08 21:38:00
pay_15ba84484581,ORD-2026-00058,7937.18,158.74,7778.44,captured,2026-08-23 05:36:00
pay_67702cc7ae07,ORD-2026-00059,3732.55,74.65,3657.9,captured,2026-08-23 05:20:00
pay_4133eb83ef60,ORD-2026-00060,6966.92,139.34,6827.58,captured,2026-08-23 03:19:00
pay_cc7bf1436f69,ORD-2026-00061,14942.23,298.84,14643.39,captured,2026-08-15 21:36:00
pay_05e59b097bb3,ORD-2026-00062,2160.36,43.21,2117.15,captured,2026-08-07 17:16:00
pay_ed678466f5b1,ORD-2026-00063,4417.81,154.62,4263.19,captured,2026-08-29 08:23:00
pay_e0aae5382da2,ORD-2026-00064,9252.83,323.85,8928.98,captured,2026-08-19 02:19:00
pay_5f9564a887aa,ORD-2026-00065,13989.99,279.8,13710.19,captured,2026-08-28 03:19:00
pay_06cfab62eeb5,ORD-2026-00067,10820.66,216.41,10604.25,captured,2026-08-11 07:13:00
pay_f82aa6a47e30,ORD-2026-00068,7430.27,148.61,7281.66,captured,2026-08-21 11:32:00
pay_423c9139d9c3,ORD-2026-00069,4294.87,85.9,4208.97,captured,2026-08-21 16:53:00
pay_2e6565883f36,ORD-2026-00070,14701.01,294.02,14406.99,captured,2026-08-25 13:40:00
pay_867eb8baac84,ORD-2026-00071,6529.77,130.6,6399.17,captured,2026-08-15 18:45:00
pay_a8d36073c8f4,ORD-2026-00072,2406.0,48.12,2357.88,captured,2026-08-04 05:57:00
pay_85f29260dd18,ORD-2026-00073,2391.79,83.71,2308.08,captured,2026-08-13 01:35:00
pay_408258749ae0,ORD-2026-00074,14009.7,280.19,13729.51,captured,2026-08-10 22:57:00
pay_fe4089c48eae,ORD-2026-00075,10070.61,201.41,9869.2,captured,2026-08-07 23:15:00
pay_480e826f7da6,ORD-2026-00076,11292.27,225.85,11066.42,captured,2026-08-18 18:39:00
pay_ba9f504b3889,ORD-2026-00077,6301.96,126.04,6175.92,captured,2026-08-06 07:56:00
pay_46954a37c40c,ORD-2026-00078,13976.08,279.52,13696.56,captured,2026-08-30 19:50:00
pay_3cb7f317bea9,ORD-2026-00079,5861.62,117.23,5744.39,captured,2026-08-07 09:06:00
pay_1af47c7f11d0,ORD-2026-00080,12285.48,245.71,12039.77,captured,2026-08-16 09:12:00
pay_3751026b5757,ORD-2026-00081,550.23,11.0,539.23,captured,2026-08-10 12:14:00
pay_618480f31883,ORD-2026-00082,1227.43,24.55,1202.88,captured,2026-08-11 09:55:00
pay_4b0332b6995d,ORD-2026-00083,10256.87,205.14,10051.73,captured,2026-08-21 19:25:00
pay_150e58123589,ORD-2026-00084,8792.73,175.85,8616.88,captured,2026-08-04 16:11:00
pay_a5d2b7eee0e5,ORD-2026-00085,5316.17,106.32,5209.85,captured,2026-08-05 07:27:00
pay_73bc9d43b157,ORD-2026-00086,5900.89,118.02,5782.87,captured,2026-08-20 19:07:00
pay_1b0b8c191ed5,ORD-2026-00087,225.03,4.5,220.53,captured,2026-08-03 06:27:00
pay_68a2569c310a,ORD-2026-00088,13827.41,276.55,13550.86,captured,2026-08-14 08:42:00
pay_e524c0830b5d,ORD-2026-00089,13520.69,270.41,13250.28,captured,2026-08-28 10:46:00
pay_642dbe01e6c8,ORD-2026-00090,10518.68,210.37,10308.31,captured,2026-08-14 19:25:00
pay_24cc7e3bc675,ORD-2026-00091,10224.31,204.49,10019.82,captured,2026-08-15 09:24:00
pay_9faea3bf98ec,ORD-2026-00092,8309.47,166.19,8143.28,captured,2026-08-19 21:25:00
pay_42960ecdd891,ORD-2026-00093,11829.23,236.58,11592.65,captured,2026-08-10 10:27:00
pay_001299a1e7d5,ORD-2026-00094,3362.78,0.0,0.0,failed,2026-08-15 23:43:00
pay_fdc4bc2ff62f,ORD-2026-00095,9950.99,199.02,9751.97,captured,2026-08-30 05:10:00
pay_79db8d593a02,ORD-2026-00096,5160.79,103.22,5057.57,captured,2026-08-22 23:39:00
pay_77ea7b0cbdfc,ORD-2026-00097,3147.12,62.94,3084.18,captured,2026-08-10 14:51:00
pay_a0620843fb55,ORD-2026-00098,12776.12,255.52,12520.6,captured,2026-08-08 18:39:00
pay_b36045f0bf7a,ORD-2026-00099,3077.64,61.55,3016.09,captured,2026-08-15 08:36:00
pay_df25524dd6f3,ORD-2026-00101,6492.16,129.84,6362.32,captured,2026-08-28 14:49:00
pay_3f4d1ac62230,ORD-2026-00102,7075.34,141.51,6933.83,captured,2026-09-01 01:33:00
pay_ffa1483189f0,ORD-2026-00103,12060.97,241.22,11819.75,captured,2026-08-04 16:08:00
pay_a123079dc98f,ORD-2026-00105,13478.68,269.57,13209.11,captured,2026-08-31 01:28:00
pay_93b888cbea95,ORD-2026-00106,9637.39,192.75,9444.64,captured,2026-08-09 12:53:00
